"Order ID",Date,Product,"Country Code",UnitCost,UnitPrice,SalesQuantity,TotalCost,TotalPrice,TotalProfit,Year,Month,category
1,01/01/2016,"Chicken Fajita Wrap (Potsdam)",DEU,1,4.98,250,249,1245,996,2016,January,food
2,02/01/2016,"Yoghurt (Odense)",DNK,1.08,5.39,112,120.74,603.68,482.94,2016,January,food
3,03/01/2016,"Green Tea (Stuttgart)",DEU,0.62,3.12,267,166.61,833.04,666.43,2016,January,beverages
4,04/01/2016,"Ham & Cheese Toastie (Graz)",AUT,0.44,2.19,253,110.81,554.07,443.26,2016,January,food
5,05/01/2016,"Almond Croissant (Sydney)",AUS,0.82,4.11,254,208.79,1043.94,835.15,2016,January,pastries
6,06/01/2016,"Peach Juice (Hamburg)",DEU,0.32,1.6,186,59.52,297.6,238.08,2016,January,beverages
7,07/01/2016,"Granola Bar (Glasgow)",GBR,0.47,2.35,250,117.5,587.5,470,2016,January,food
8,08/01/2016,"Butter Croissant (Vancouver)",CAN,0.52,2.61,177,92.39,461.97,369.58,2016,January,pastries
9,09/01/2016,"Tea (Seattle)",USA,0.38,1.89,471,178.04,890.19,712.15,2016,January,beverages
10,10/01/2016,"Still Water (Toronto)",CAN,0.98,4.88,119,116.14,580.72,464.58,2016,January,beverages
11,11/01/2016,"Peach Juice (Sydney)",AUS,1,5.02,470,471.88,2359.4,1887.52,2016,January,beverages
12,12/01/2016,"Almond Croissant (Sydney)",AUS,0.68,3.38,471,318.4,1591.98,1273.58,2016,January,pastries
13,13/01/2016,"Chicken Salad Sandwich (Birmingham)",GBR,0.98,4.91,311,305.4,1527.01,1221.61,2016,January,food
14,14/01/2016,"Orange Juice (Seattle)",USA,0.99,4.96,479,475.17,2375.84,1900.67,2016,January,beverages
15,15/01/2016,"Green Tea (Berlin)",DEU,0.74,3.7,477,352.98,1764.9,1411.92,2016,January,beverages
16,16/01/2016,"Butter Croissant (Galway)",IRL,0.99,4.97,209,207.75,1038.73,830.98,2016,January,pastries
17,17/01/2016,"Ham & Cheese Toastie (Auckland)",NZL,0.7,3.48,216,150.34,751.68,601.34,2016,January,food
18,18/01/2016,"Toast (Stuttgart)",DEU,0.98,4.88,311,303.54,1517.68,1214.14,2016,January,food
19,19/01/2016,"Toast (Auckland)",NZL,1.04,5.19,343,356.03,1780.17,1424.14,2016,January,food
20,20/01/2016,"Ham & Cheese Toastie (Copenhagan)",DNK,0.49,2.47,469,231.69,1158.43,926.74,2016,January,food
21,21/01/2016,"Chocolate Twist (Stockholm)",SWE,0.79,3.97,196,155.62,778.12,622.5,2016,January,pastries
22,22/01/2016,"Lemon & Ginger Tea (SÃ¸nderborg)",DNK,0.41,2.05,311,127.51,637.55,510.04,2016,January,beverages
23,23/01/2016,"BLT Sandwich (KrakÃ³w)",POL,0.46,2.28,179,81.62,408.12,326.5,2016,January,food
24,24/01/2016,"Peach Juice (Berlin)",DEU,0.77,3.84,388,297.98,1489.92,1191.94,2016,January,beverages
25,25/01/2016,"Yoghurt (Berlin)",DEU,0.83,4.16,347,288.7,1443.52,1154.82,2016,January,food
26,26/01/2016,"Toast (Salzburg)",AUT,0.35,1.74,353,122.84,614.22,491.38,2016,January,food
27,27/01/2016,"Porridge (Lausanne)",CHE,0.3,1.52,380,115.52,577.6,462.08,2016,January,food
28,28/01/2016,"Chicken Salad Sandwich (Vancouver)",CAN,0.61,3.07,343,210.6,1053.01,842.41,2016,January,food
29,29/01/2016,"Green Tea (Glasgow)",GBR,0.43,2.13,340,144.84,724.2,579.36,2016,January,beverages
30,30/01/2016,"Yoghurt (Brussels)",BEL,0.79,3.94,232,182.82,914.08,731.26,2016,January,food
31,31/01/2016,"Lemon & Ginger Tea (Toronto)",CAN,0.34,1.72,405,139.32,696.6,557.28,2016,January,beverages
32,01/02/2016,"Peach Juice (Seattle)",USA,0.65,3.26,115,74.98,374.9,299.92,2016,February,beverages
33,02/02/2016,"Still Water (Katowice)",POL,0.38,1.91,281,107.34,536.71,429.37,2016,February,beverages
34,03/02/2016,"Blueberry Muffin (Lille)",FRA,0.43,2.15,470,202.1,1010.5,808.4,2016,February,pastries
35,04/02/2016,"Granola Bar (Portland)",USA,0.55,2.75,131,72.05,360.25,288.2,2016,February,food
36,05/02/2016,"Granola Bar (Strasbourg)",FRA,0.41,2.07,259,107.23,536.13,428.9,2016,February,food
37,06/02/2016,"Peach Juice (Salzburg)",AUT,0.91,4.53,152,137.71,688.56,550.85,2016,February,beverages
38,07/02/2016,"Butter Croissant (Geneva)",CHE,0.65,3.27,305,199.47,997.35,797.88,2016,February,pastries
